"id","title","is_succeeded","start_date","close_date","expected_return","expected_risk","expert_id","symbol_id","should_buy","profit"
6794,"",1,"2018-03-25","2018-09-14",57.88,-29.5,28,100,0,57.88
6850,"",1,"2018-03-05","2018-09-01",33.7,-26.88,28,100,0,33.7
7192,"",1,"2017-11-08","2018-01-24",34.31,-15.49,28,100,0,34.31
7510,"",1,"2018-11-14","2019-06-15",56.17,-30.94,34,100,0,56.17
7546,"",1,"2018-08-04","2018-08-29",36.81,-21.77,34,100,0,36.81
7547,"",1,"2018-08-04","2018-08-29",36.81,-21.77,34,100,0,36.81
7657,"",1,"2018-06-19","2018-09-01",22.23,-17.93,34,100,0,22.23
7658,"",1,"2018-06-19","2018-09-01",22.14,-17.89,34,100,0,22.14
7854,"",1,"2018-04-28","2018-08-29",32.6,-19.4,34,100,0,32.6
7855,"",1,"2018-04-28","2018-08-29",32.6,-19.4,34,100,0,32.6
7930,"",1,"2018-04-17","2018-09-05",32.27,-30.46,34,100,0,32.27
